,jail_sentence,criminal_risk_radius,cop_catch_radius,criminal_risk_aversion,criminal_disconnectivity,Run,Centrum,Criminals in jail,Nieuw-West,Noord,Oost,Total crimes,West,Zuid,Zuidoost
1943,19,7,1,96,10,1943.0,2.139300000000001,36.0,0.6616999999999998,0.0,0.845775,2324.0,1.2537249999999998,2.069650000000002,0.16915000000000002
1944,19,7,1,247,54,1944.0,1.7413999999999998,28.0,1.3084499999999997,0.18905000000000002,0.631825,2167.0,1.9850750000000001,2.129375,0.05472500000000005
1945,17,7,1,96,54,1945.0,0.810925,7.0,9.905349999999997,3.845699999999998,6.174100000000002,7220.0,1.2536999999999998,3.835974999999999,0.08955
1946,14,5,8,372,35,1946.0,2.0845499999999997,27.0,0.2835999999999999,0.0,2.6816250000000013,3028.0,1.5224250000000006,4.3830750000000025,0.21392499999999987
1947,12,5,8,372,35,1947.0,2.009900000000002,36.0,0.801,0.7910250000000001,0.9402750000000002,2124.0,1.228825,1.3333499999999996,0.16417499999999996
1948,14,5,8,372,35,1948.0,0.23382499999999998,7.0,6.273699999999998,2.462650000000002,5.616999999999998,5844.0,2.5273499999999998,3.447725000000001,1.1442499999999998
1949,14,5,4,372,35,1949.0,1.641825,30.0,2.218924999999999,0.58705,1.4925250000000012,2946.0,1.2139250000000006,2.3035749999999977,0.6219000000000002
1950,14,5,8,221,35,1950.0,1.0995250000000012,7.0,8.223974999999994,2.71635,3.0249750000000013,5936.0,1.0298749999999992,3.7065500000000013,1.4079749999999998
1951,14,5,8,372,79,1951.0,2.4279000000000006,36.0,2.084525,0.9502249999999998,1.08955,2898.0,0.8606750000000001,2.54725,0.32337499999999997
1952,12,5,4,221,79,1952.0,1.2338250000000004,37.0,0.3283499999999999,0.0,0.9950249999999999,1686.0,0.3383250000000001,2.1740999999999984,0.09452500000000001
1953,4,9,3,122,85,1953.0,2.1293000000000024,26.0,5.164075000000001,1.9253500000000008,2.3333499999999985,5302.0,1.9651500000000006,4.144225000000002,0.4079499999999999
1954,2,9,3,122,85,1954.0,0.373125,24.0,3.666675,1.3283500000000006,3.4726500000000002,3291.0,0.811,2.517374999999999,0.9402750000000002
1955,4,9,3,122,85,1955.0,2.4279000000000006,36.0,2.084525,0.9502249999999998,1.08955,2898.0,0.8606750000000001,2.54725,0.32337499999999997
1956,4,9,8,122,85,1956.0,1.6964750000000006,14.0,3.7263999999999986,3.273625,3.6518,4595.0,2.835900000000002,2.5870499999999987,1.3233499999999996
1957,4,9,3,471,85,1957.0,0.58705,31.0,2.59695,1.497525,1.7314000000000007,2574.0,0.9353500000000001,1.880575,0.25869999999999993
1958,4,9,3,122,29,1958.0,2.139300000000001,36.0,0.6616999999999998,0.0,0.845775,2324.0,1.2537249999999998,2.069650000000002,0.16915000000000002
1959,2,9,8,471,29,1959.0,1.6765749999999997,35.0,0.0995,0.064675,0.333375,1677.0,0.15920000000000006,2.5622250000000006,0.1293500000000001
1960,3,2,8,215,42,1960.0,0.05969999999999997,33.0,0.0,0.0,0.0,1093.0,0.0,3.4477500000000005,0.0
1961,3,2,8,215,42,1961.0,1.8756250000000008,36.0,1.9949999999999986,0.6417749999999997,1.4577250000000006,2771.0,1.5821,1.1442750000000006,0.04974999999999998
1962,3,3,8,215,42,1962.0,0.46767500000000006,5.0,9.233900000000004,10.28835000000001,2.6119499999999998,7073.0,2.965100000000001,0.7960250000000002,0.16915000000000002
1963,3,2,6,215,42,1963.0,0.014924999999999992,6.0,0.0,0.0,0.07959999999999993,240.0,0.0,0.3532250000000001,0.0
1964,3,2,8,315,42,1964.0,0.58705,31.0,2.59695,1.497525,1.7314000000000007,2574.0,0.9353500000000001,1.880575,0.25869999999999993
1965,3,2,8,215,98,1965.0,0.75125,37.0,1.4726,0.9303500000000001,1.1442750000000002,2083.0,1.0198750000000003,1.5223749999999998,0.21392499999999995
1966,3,3,6,315,98,1966.0,1.1890249999999996,13.0,5.323449999999998,3.4477749999999996,4.298525000000001,6565.0,3.1443000000000008,4.124399999999995,1.3731249999999997
1967,13,6,4,465,92,1967.0,0.9850500000000006,35.0,0.0,0.0,0.0,1355.0,0.0,3.3730750000000014,0.0
1968,13,6,4,465,92,1968.0,1.1442500000000004,37.0,0.06965000000000005,0.0,0.14427499999999996,1730.0,0.363175,3.18905,0.0
1969,13,7,4,465,92,1969.0,2.5622249999999998,7.0,7.378049999999999,3.0796000000000006,3.0399000000000003,5945.0,2.358224999999998,4.427875000000004,1.0547
1970,13,6,2,465,92,1970.0,2.5622249999999998,7.0,7.378049999999999,3.0796000000000006,3.0399000000000003,5945.0,2.358224999999998,4.427875000000004,1.0547
1971,13,6,4,65,92,1971.0,1.1442500000000004,37.0,0.06965000000000005,0.0,0.14427499999999996,1730.0,0.363175,3.18905,0.0
1972,13,6,4,465,48,1972.0,1.1890249999999996,13.0,5.323449999999998,3.4477749999999996,4.298525000000001,6565.0,3.1443000000000008,4.124399999999995,1.3731249999999997
1973,13,7,2,65,48,1973.0,1.1890249999999996,13.0,5.323449999999998,3.4477749999999996,4.298525000000001,6565.0,3.1443000000000008,4.124399999999995,1.3731249999999997
1974,18,4,6,90,67,1974.0,1.104475,37.0,0.6020000000000005,0.0,0.19900000000000007,1726.0,0.05472500000000005,3.3085000000000013,0.0
1975,18,4,6,90,67,1975.0,1.104475,37.0,0.6020000000000005,0.0,0.19900000000000007,1726.0,0.05472500000000005,3.3085000000000013,0.0
1976,18,5,6,90,67,1976.0,1.681575,35.0,1.079575,0.029849999999999998,1.4925500000000003,1994.0,0.7860499999999998,2.1989749999999995,0.05472500000000001
1977,18,4,4,90,67,1977.0,1.681575,35.0,1.079575,0.029849999999999998,1.4925500000000003,1994.0,0.7860499999999998,2.1989749999999995,0.05472500000000001
1978,18,4,6,190,67,1978.0,1.104475,37.0,0.6020000000000005,0.0,0.19900000000000007,1726.0,0.05472500000000005,3.3085000000000013,0.0
1979,18,4,6,90,23,1979.0,1.104475,37.0,0.6020000000000005,0.0,0.19900000000000007,1726.0,0.05472500000000005,3.3085000000000013,0.0
1980,18,5,4,190,23,1980.0,1.104475,37.0,0.6020000000000005,0.0,0.19900000000000007,1726.0,0.05472500000000005,3.3085000000000013,0.0
1981,8,9,2,340,17,1981.0,1.6566999999999998,37.0,1.1890500000000002,0.0,0.5273499999999998,1898.0,0.44282499999999997,2.0945749999999994,0.199
1982,8,9,2,340,17,1982.0,1.6964750000000006,14.0,3.7263999999999986,3.273625,3.6518,4595.0,2.835900000000002,2.5870499999999987,1.3233499999999996
1983,8,10,2,340,17,1983.0,1.1890249999999996,13.0,5.323449999999998,3.4477749999999996,4.298525000000001,6565.0,3.1443000000000008,4.124399999999995,1.3731249999999997
1984,8,9,9,340,17,1984.0,0.9850500000000006,35.0,0.0,0.0,0.0,1355.0,0.0,3.3730750000000014,0.0
1985,8,9,2,440,17,1985.0,1.1890249999999996,13.0,5.323449999999998,3.4477749999999996,4.298525000000001,6565.0,3.1443000000000008,4.124399999999995,1.3731249999999997
1986,8,9,2,340,73,1986.0,1.1890249999999996,13.0,5.323449999999998,3.4477749999999996,4.298525000000001,6565.0,3.1443000000000008,4.124399999999995,1.3731249999999997
1987,8,10,9,440,73,1987.0,0.810925,7.0,9.905349999999997,3.845699999999998,6.174100000000002,7220.0,1.2536999999999998,3.835974999999999,0.08955
1988,6,5,5,278,4,1988.0,0.35322499999999996,3.0,2.4726500000000016,9.383000000000001,6.850649999999997,7891.0,3.4825999999999997,4.567174999999994,1.2537749999999994
1989,0,5,5,278,4,1989.0,0.5621750000000003,4.0,6.552199999999999,6.164100000000002,2.9154749999999994,6979.0,3.9900249999999984,4.98505,0.6218750000000004
1990,6,4,5,278,4,1990.0,0.5621750000000003,4.0,6.552199999999999,6.164100000000002,2.9154749999999994,6979.0,3.9900249999999984,4.98505,0.6218750000000004
1991,6,5,5,278,4,1991.0,0.58705,31.0,2.59695,1.497525,1.7314000000000007,2574.0,0.9353500000000001,1.880575,0.25869999999999993
1992,6,5,5,127,4,1992.0,1.5671500000000003,37.0,0.7114250000000001,0.0,0.422875,1849.0,1.1044749999999999,2.2089250000000007,0.18407500000000002
1993,6,5,5,278,35,1993.0,1.3583499999999993,5.0,5.363099999999999,4.850824999999998,2.2637000000000005,5909.0,3.0198499999999995,5.064625,0.019899999999999998
1994,0,4,5,127,35,1994.0,0.36815,13.0,3.487675000000001,2.70145,3.3084249999999993,3888.0,2.079599999999999,2.6468000000000025,0.6119749999999996
1995,16,10,9,28,54,1995.0,0.8110250000000002,27.0,0.0,0.0,0.0,1230.0,0.0,3.124350000000001,0.0
1996,10,10,9,28,54,1996.0,1.7811249999999998,12.0,6.9353750000000005,2.4527500000000004,4.895549999999997,6502.0,2.248725,3.263749999999999,1.4726500000000007
1997,16,9,9,28,54,1997.0,0.36815,13.0,3.487675000000001,2.70145,3.3084249999999993,3888.0,2.079599999999999,2.6468000000000025,0.6119749999999996
1998,16,10,10,28,54,1998.0,0.36815,13.0,3.487675000000001,2.70145,3.3084249999999993,3888.0,2.079599999999999,2.6468000000000025,0.6119749999999996
1999,16,10,9,377,54,1999.0,0.36815,13.0,3.487675000000001,2.70145,3.3084249999999993,3888.0,2.079599999999999,2.6468000000000025,0.6119749999999996
2000,16,10,9,28,85,2000.0,2.4279000000000006,36.0,2.084525,0.9502249999999998,1.08955,2898.0,0.8606750000000001,2.54725,0.32337499999999997
2001,10,9,10,377,85,2001.0,1.1890249999999996,13.0,5.323449999999998,3.4477749999999996,4.298525000000001,6565.0,3.1443000000000008,4.124399999999995,1.3731249999999997
2002,11,3,3,403,79,2002.0,2.139300000000001,36.0,0.6616999999999998,0.0,0.845775,2324.0,1.2537249999999998,2.069650000000002,0.16915000000000002
2003,15,3,3,403,79,2003.0,2.139300000000001,36.0,0.6616999999999998,0.0,0.845775,2324.0,1.2537249999999998,2.069650000000002,0.16915000000000002
2004,11,2,3,403,79,2004.0,1.6666499999999997,29.0,0.7314,0.009975000000000001,1.0895499999999998,2319.0,2.004974999999999,3.2636999999999987,0.004974999999999999
2005,11,3,8,403,79,2005.0,1.1442500000000004,37.0,0.06965000000000005,0.0,0.14427499999999996,1730.0,0.363175,3.18905,0.0
2006,11,3,3,252,79,2006.0,0.05969999999999997,33.0,0.0,0.0,0.0,1093.0,0.0,3.4477500000000005,0.0
2007,11,3,3,403,60,2007.0,0.8110250000000002,27.0,0.0,0.0,0.0,1230.0,0.0,3.124350000000001,0.0
2008,15,2,8,252,60,2008.0,0.75125,37.0,1.4726,0.9303500000000001,1.1442750000000002,2083.0,1.0198750000000003,1.5223749999999998,0.21392499999999995
2009,1,7,7,153,29,2009.0,0.37810000000000005,4.0,6.641750000000001,8.099375000000002,8.76627499999999,8127.0,3.318575000000001,3.8259000000000007,0.9999999999999999
2010,5,7,7,153,29,2010.0,0.6815750000000002,26.0,1.7463,1.457775,1.960225,2670.0,0.8905249999999999,1.5771250000000006,0.9402749999999999
2011,1,6,7,153,29,2011.0,2.139300000000001,36.0,0.6616999999999998,0.0,0.845775,2324.0,1.2537249999999998,2.069650000000002,0.16915000000000002
2012,1,7,3,153,29,2012.0,0.37810000000000005,4.0,6.641750000000001,8.099375000000002,8.76627499999999,8127.0,3.318575000000001,3.8259000000000007,0.9999999999999999
2013,1,7,7,2,29,2013.0,2.139300000000001,36.0,0.6616999999999998,0.0,0.845775,2324.0,1.2537249999999998,2.069650000000002,0.16915000000000002
2014,1,7,7,153,10,2014.0,0.4676499999999998,26.0,3.960149999999997,1.716425,2.756225,3583.0,0.9900249999999999,1.9054500000000005,0.49254999999999993
2015,5,6,3,2,10,2015.0,0.014924999999999992,6.0,0.0,0.0,0.07959999999999993,240.0,0.0,0.3532250000000001,0.0
2016,1,5,9,114,59,2016.0,1.4079500000000005,32.0,0.3979999999999999,0.38309999999999983,0.5771499999999998,1887.0,1.0945249999999997,1.7910499999999998,0.4029750000000002
2017,8,5,9,114,59,2017.0,0.6815750000000002,26.0,1.7463,1.457775,1.960225,2670.0,0.8905249999999999,1.5771250000000006,0.9402749999999999
2018,1,1,9,114,59,2018.0,1.4079500000000005,32.0,0.3979999999999999,0.38309999999999983,0.5771499999999998,1887.0,1.0945249999999997,1.7910499999999998,0.4029750000000002
2019,1,5,2,114,59,2019.0,1.6964750000000006,14.0,3.7263999999999986,3.273625,3.6518,4595.0,2.835900000000002,2.5870499999999987,1.3233499999999996
2020,1,5,9,417,59,2020.0,0.373125,24.0,3.666675,1.3283500000000006,3.4726500000000002,3291.0,0.811,2.517374999999999,0.9402750000000002
